Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
NC6218,13.64,No Sugar,0.071,Household,157.1,OUT004,2009,Medium,Tier 2,Supermarket Type2,3882.69
FD7005,10.03,Low Sugar,0.016,Frozen Foods,126.66,OUT001,1987,High,Tier 2,Supermarket Type1,2444.17
FD3181,12.26,Low Sugar,0.14,Snack Foods,138.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,3185.13
FD4347,10.28,Low Sugar,0.143,Canned,147.44,OUT004,2009,Medium,Tier 2,Supermarket Type2,2926.08
FD2424,16.38,Low Sugar,0.082,Baking Goods,205.16,OUT003,1999,Medium,Tier 1,Departmental Store,5485.4
FD7234,13.37,Low Sugar,0.113,Baking Goods,137.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,3414.5
FD8547,11.8,reg,0.029,Breads,144.64,OUT004,2009,Medium,Tier 2,Supermarket Type2,3212.19
FD201,9.61,Low Sugar,0.026,Snack Foods,161.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3920.35
FD2119,11.98,Low Sugar,0.086,Fruits and Vegetables,125.08,OUT004,2009,Medium,Tier 2,Supermarket Type2,2851.97
FD671,11.5,Low Sugar,0.039,Dairy,159.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3451.32
FD8491,12.66,Regular,0.153,Canned,151.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3554.37
FD4274,9.18,Regular,0.171,Dairy,115.82,OUT002,1998,Small,Tier 3,Food Mart,2030.87
NC3189,13.61,No Sugar,0.03,Household,146.14,OUT004,2009,Medium,Tier 2,Supermarket Type2,3652.07
NC6507,13.18,No Sugar,0.059,Health and Hygiene,178.63,OUT003,1999,Medium,Tier 1,Departmental Store,4219.6
FD2469,13.18,Low Sugar,0.056,Fruits and Vegetables,164.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3934.13
FD3794,10.56,Regular,0.012,Baking Goods,131.37,OUT004,2009,Medium,Tier 2,Supermarket Type2,2660.86
NC2775,15.45,No Sugar,0.036,Household,166.22,OUT003,1999,Medium,Tier 1,Departmental Store,4476.99
FD5874,15.4,Low Sugar,0.128,Fruits and Vegetables,177.14,OUT001,1987,High,Tier 2,Supermarket Type1,4690.32
FD1671,13.89,Low Sugar,0.047,Meat,153.26,OUT004,2009,Medium,Tier 2,Supermarket Type2,3859.63
FD1747,13.31,Low Sugar,0.1,Snack Foods,160.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,3874.03
FD185,10.43,Regular,0.077,Snack Foods,119.8,OUT003,1999,Medium,Tier 1,Departmental Store,5202.19
FD1120,12.73,Low Sugar,0.056,Fruits and Vegetables,144.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3412.48
FD4705,10.95,Low Sugar,0.027,Frozen Foods,120.35,OUT004,2009,Medium,Tier 2,Supermarket Type2,2521.93
FD5155,13.64,Regular,0.016,Dairy,155.99,OUT004,2009,Medium,Tier 2,Supermarket Type2,3859.26
NC6066,13.7,No Sugar,0.016,Health and Hygiene,136.46,OUT004,2009,Medium,Tier 2,Supermarket Type2,3473.05
FD4734,12.74,Regular,0.025,Snack Foods,121.39,OUT004,2009,Medium,Tier 2,Supermarket Type2,2947.95
FD2596,16.86,Low Sugar,0.061,Fruits and Vegetables,217.5,OUT003,1999,Medium,Tier 1,Departmental Store,5845.41
FD2030,11.69,Low Sugar,0.076,Frozen Foods,141.63,OUT004,2009,Medium,Tier 2,Supermarket Type2,3125.59
